Date,Close
2/20/2020,152.41
2/21/2020,154.7
2/24/2020,156.09
2/25/2020,153.3
2/26/2020,153.97
2/27/2020,154
2/28/2020,148.38
3/2/2020,149.2
3/3/2020,153.89
3/4/2020,154.16
3/5/2020,157.49
3/6/2020,157.55
3/9/2020,157.81
3/10/2020,154.48
3/11/2020,153.93
3/12/2020,147.79
3/13/2020,143.28
3/16/2020,141.64
3/17/2020,143.56
3/18/2020,140.7
3/19/2020,138.04
3/20/2020,140.11
3/23/2020,146.3
3/24/2020,153.4
3/25/2020,151.3
3/26/2020,153.24
3/27/2020,152.25
3/30/2020,152.92
3/31/2020,148.05
4/1/2020,149.45
4/2/2020,151.9
4/3/2020,152.65
4/6/2020,156.88
4/7/2020,156.04
4/8/2020,154.65
4/9/2020,158.69
4/13/2020,161.41
4/14/2020,162.68
4/15/2020,161.85
4/16/2020,161.71
4/17/2020,158.57
