Date,Close
2/19/2019,15.02
2/20/2019,15.07
2/21/2019,14.83
2/22/2019,14.95
2/25/2019,14.9
2/26/2019,14.94
2/27/2019,14.75
2/28/2019,14.63
3/1/2019,14.2
3/4/2019,14.15
3/5/2019,14.2
3/6/2019,14.15
3/7/2019,14.09
3/8/2019,14.41
3/11/2019,14.37
3/12/2019,14.48
3/13/2019,14.51
3/14/2019,14.24
3/15/2019,14.33
3/18/2019,14.39
3/19/2019,14.4
3/20/2019,14.54
3/21/2019,14.5
3/22/2019,14.45
3/25/2019,14.56
3/26/2019,14.47
3/27/2019,14.32
3/28/2019,14.07
3/29/2019,14.18
4/1/2019,14.15
4/2/2019,14.16
4/3/2019,14.2
4/4/2019,14.22
4/5/2019,14.17
4/8/2019,14.31
4/9/2019,14.28
4/10/2019,14.28
4/11/2019,14.02
4/12/2019,14.05
4/15/2019,14.06
4/16/2019,14.07
4/17/2019,14.05
4/18/2019,14.06
4/22/2019,14.08
4/23/2019,13.91
4/24/2019,14
4/25/2019,14
4/26/2019,14.1
4/29/2019,13.99
4/30/2019,14.02
5/1/2019,13.75
5/2/2019,13.71
5/3/2019,13.96
5/6/2019,13.98
5/7/2019,13.98
5/8/2019,13.89
5/9/2019,13.83
5/10/2019,13.84
5/13/2019,13.84
5/14/2019,13.86
5/15/2019,13.85
5/16/2019,13.65
5/17/2019,13.52
5/20/2019,13.55
5/21/2019,13.53
5/22/2019,13.54
5/23/2019,13.68
5/24/2019,13.65
5/28/2019,13.46
5/29/2019,13.52
5/30/2019,13.6
5/31/2019,13.65
6/3/2019,13.87
6/4/2019,13.89
6/5/2019,13.88
6/6/2019,13.92
6/7/2019,14.06
6/10/2019,13.78
6/11/2019,13.81
6/12/2019,13.84
6/13/2019,13.96
6/14/2019,13.91
6/17/2019,13.9
6/18/2019,14.05
6/19/2019,14.17
6/20/2019,14.45
6/21/2019,14.36
6/24/2019,14.46
6/25/2019,14.38
6/26/2019,14.32
6/27/2019,14.28
6/28/2019,14.33
7/1/2019,14.18
7/2/2019,14.29
7/3/2019,14.32
7/5/2019,14.06
7/8/2019,14.05
7/9/2019,14.14
7/10/2019,14.26
7/11/2019,14.17
7/12/2019,14.26
7/15/2019,14.42
7/16/2019,14.54
7/17/2019,14.94
7/18/2019,15.29
7/19/2019,15.17
7/22/2019,15.35
7/23/2019,15.34
7/24/2019,15.52
7/25/2019,15.36
7/26/2019,15.31
7/29/2019,15.4
7/30/2019,15.5
7/31/2019,15.21
8/1/2019,15.34
8/2/2019,15.19
8/5/2019,15.33
8/6/2019,15.38
8/7/2019,15.97
8/8/2019,15.89
8/9/2019,15.89
8/12/2019,15.98
8/13/2019,15.87
8/14/2019,16.08
8/15/2019,16.13
8/16/2019,16.02
8/19/2019,15.79
8/20/2019,16.05
8/21/2019,16.05
8/22/2019,15.97
8/23/2019,16.35
8/26/2019,16.52
8/27/2019,17.03
8/28/2019,17.17
8/29/2019,17.07
8/30/2019,17.15
9/3/2019,17.89
9/4/2019,18.34
9/5/2019,17.41
9/6/2019,16.87
9/9/2019,16.83
9/10/2019,16.85
9/11/2019,16.95
9/12/2019,16.92
9/13/2019,16.31
9/16/2019,16.74
9/17/2019,16.86
9/18/2019,16.55
9/19/2019,16.62
9/20/2019,16.8
9/23/2019,17.51
9/24/2019,17.44
9/25/2019,16.71
9/26/2019,16.67
9/27/2019,16.36
9/30/2019,15.92
10/1/2019,16.15
10/2/2019,16.43
10/3/2019,16.43
10/4/2019,16.41
10/7/2019,16.3
10/8/2019,16.61
10/9/2019,16.6
10/10/2019,16.37
10/11/2019,16.37
10/14/2019,16.49
10/15/2019,16.27
10/16/2019,16.26
10/17/2019,16.4
10/18/2019,16.41
10/21/2019,16.41
10/22/2019,16.37
10/23/2019,16.39
10/24/2019,16.65
10/25/2019,16.89
10/28/2019,16.68
10/29/2019,16.65
10/30/2019,16.73
10/31/2019,16.92
11/1/2019,16.92
11/4/2019,16.85
11/5/2019,16.44
11/6/2019,16.47
11/7/2019,16
11/8/2019,15.7
11/11/2019,15.75
11/12/2019,15.72
11/13/2019,15.83
11/14/2019,15.9
11/15/2019,15.85
11/18/2019,15.92
11/19/2019,16.02
11/20/2019,16.04
11/21/2019,15.99
11/22/2019,15.9
11/25/2019,15.78
11/26/2019,15.99
11/27/2019,15.84
11/29/2019,15.92
12/2/2019,15.8
12/3/2019,16.05
12/4/2019,15.76
12/5/2019,15.85
12/6/2019,15.48
12/9/2019,15.5
12/10/2019,15.57
12/11/2019,15.75
12/12/2019,15.85
12/13/2019,15.84
12/16/2019,15.91
12/17/2019,15.88
12/18/2019,15.9
12/19/2019,15.94
12/20/2019,16.04
12/23/2019,16.28
12/24/2019,16.58
12/26/2019,16.73
12/27/2019,16.58
12/30/2019,16.74
12/31/2019,16.68
1/2/2020,16.81
1/3/2020,16.84
1/6/2020,16.94
1/7/2020,17.17
1/8/2020,16.93
1/9/2020,16.72
1/10/2020,16.89
1/13/2020,16.78
1/14/2020,16.62
1/15/2020,16.81
1/16/2020,16.77
1/17/2020,16.82
1/21/2020,16.64
1/22/2020,16.66
1/23/2020,16.61
1/24/2020,16.91
1/27/2020,16.89
1/28/2020,16.32
1/29/2020,16.41
1/30/2020,16.68
1/31/2020,16.82
2/3/2020,16.5
2/4/2020,16.45
2/5/2020,16.46
2/6/2020,16.63
2/7/2020,16.54
2/10/2020,16.61
2/11/2020,16.48
2/12/2020,16.33
2/13/2020,16.46
2/14/2020,16.56
2/18/2020,17.01
