Date,Close
2/20/2020,3373.23
2/21/2020,3337.75
2/24/2020,3225.89
2/25/2020,3128.21
2/26/2020,3116.39
2/27/2020,2978.76
2/28/2020,2954.22
3/2/2020,3090.23
3/3/2020,3003.37
3/4/2020,3130.12
3/5/2020,3023.94
3/6/2020,2972.37
3/9/2020,2746.56
3/10/2020,2882.23
3/11/2020,2741.38
3/12/2020,2480.64
3/13/2020,2711.02
3/16/2020,2386.13
3/17/2020,2529.19
3/18/2020,2398.1
3/19/2020,2409.39
3/20/2020,2304.92
3/23/2020,2237.4
3/24/2020,2447.33
3/25/2020,2475.56
3/26/2020,2630.07
3/27/2020,2541.47
3/30/2020,2626.65
3/31/2020,2584.59
4/1/2020,2470.5
4/2/2020,2526.9
4/3/2020,2488.65
4/6/2020,2663.68
4/7/2020,2659.41
4/8/2020,2749.98
4/9/2020,2789.82
4/13/2020,2761.63
4/14/2020,2846.06
4/15/2020,2783.36
4/16/2020,2799.55
4/17/2020,2874.56
